Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
Exception
         2474516 function calls (2417946 primitive calls) in 42.388 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1798/1    0.017    0.000   42.389   42.389 {built-in method builtins.exec}
        1    0.000    0.000   42.389   42.389 inference_server3.py:1(<module>)
        1    0.061    0.061   39.920   39.920 inference_server3.py:490(point_cloud_reader)
      615   30.741    0.050   30.741    0.050 {built-in method time.sleep}
      594    0.458    0.001    6.925    0.012 inference_server3.py:249(process2)
      594    3.904    0.007    3.904    0.007 {waitKey}
       95    0.002    0.000    2.985    0.031 __init__.py:1(<module>)
  1578/14    0.005    0.000    2.470    0.176 <frozen importlib._bootstrap>:978(_find_and_load)
  1553/14    0.005    0.000    2.470    0.176 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
  1446/14    0.005    0.000    2.468    0.176 <frozen importlib._bootstrap>:663(_load_unlocked)
  2059/15    0.001    0.000    2.468    0.165 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  1198/13    0.003    0.000    2.390    0.184 <frozen importlib._bootstrap_external>:722(exec_module)
      615    1.533    0.002    1.982    0.003 inference_server3.py:82(processTopView)
        1    0.000    0.000    1.575    1.575 lane_detection.py:1(<module>)
      596    0.001    0.000    1.361    0.002 from_data.py:7(array)
      596    1.360    0.002    1.360    0.002 {built-in method cupy.core.core.array}
        2    0.000    0.000    1.302    0.651 lane_detection.py:12(getHomographyMatrix)
      594    0.909    0.002    0.909    0.002 {imshow}
   749/79    0.001    0.000    0.841    0.011 {built-in method builtins.__import__}
5194/1409    0.003    0.000    0.787    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
86821/54631    0.110    0.000    0.457    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      594    0.239    0.000    0.374    0.001 {built-in method cupy.core._routines_linalg.matmul}
   178412    0.331    0.000    0.331    0.000 {built-in method builtins.round}
1445/1438    0.002    0.000    0.302    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
  235/231    0.001    0.000    0.277    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
  235/231    0.274    0.001    0.277    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.273    0.273 test_PINet.py:7(<module>)
        3    0.001    0.000    0.272    0.091 __init__.py:11(<module>)
 1845/615    0.005    0.000    0.239    0.000 misc.py:35(func_out)
      615    0.002    0.000    0.237    0.000 binary.py:115(binary_closing)
    28512    0.019    0.000    0.224    0.000 <__array_function__ internals>:2(round_)
     1230    0.017    0.000    0.212    0.000 morphology.py:215(_binary_erosion)
        1    0.000    0.000    0.192    0.192 pyplot.py:19(<module>)
        1    0.000    0.000    0.190    0.190 _polygon.py:1(<module>)
        1    0.000    0.000    0.190    0.190 __init__.py:291(<module>)
    28512    0.015    0.000    0.169    0.000 fromnumeric.py:3628(round_)
       12    0.000    0.000    0.162    0.013 __init__.py:3(<module>)
        1    0.000    0.000    0.159    0.159 greyreconstruct.py:11(<module>)
2830/2684    0.074    0.000    0.158    0.000 {built-in method builtins.__build_class__}
    28512    0.019    0.000    0.153    0.000 <__array_function__ internals>:2(around)
      615    0.003    0.000    0.153    0.000 binary.py:46(binary_dilation)
      615    0.007    0.000    0.148    0.000 morphology.py:390(binary_dilation)
        1    0.000    0.000    0.142    0.142 edges.py:11(<module>)
     1198    0.009    0.000    0.137    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     9444    0.031    0.000    0.136    0.000 {built-in method numpy.array}
        4    0.000    0.000    0.133    0.033 compiler.py:345(compile_with_cache)
        4    0.000    0.000    0.133    0.033 compiler.py:379(_compile_with_cache_cuda)
    33410    0.020    0.000    0.133    0.000 fromnumeric.py:52(_wrapfunc)
     1230    0.132    0.000    0.132    0.000 {built-in method scipy.ndimage._nd_image.binary_erosion}
        1    0.000    0.000    0.130    0.130 compiler.py:305(_preprocess)
        1    0.000    0.000    0.130    0.130 compiler.py:549(compile)
        1    0.130    0.130    0.130    0.130 {built-in method cupy_backends.cuda.libs.nvrtc.compileProgram}
      594    0.125    0.000    0.128    0.000 {rectangle}
     4363    0.002    0.000    0.122    0.000 _asarray.py:14(asarray)
        6    0.000    0.000    0.119    0.020 __init__.py:7(<module>)
    89200    0.113    0.000    0.113    0.000 {circle}
        1    0.000    0.000    0.111    0.111 _cycle_spin.py:1(<module>)
        1    0.000    0.000    0.106    0.106 _peak_finding.py:3(<module>)
        1    0.000    0.000    0.105    0.105 __init__.py:390(<module>)
      615    0.002    0.000    0.105    0.000 Image.py:679(__array_interface__)
    28512    0.017    0.000    0.104    0.000 fromnumeric.py:3168(around)
      615    0.005    0.000    0.102    0.000 Image.py:710(tobytes)
        1    0.000    0.000    0.097    0.097 stats.py:164(<module>)
        1    0.000    0.000    0.093    0.093 distributions.py:8(<module>)
     1198    0.002    0.000    0.090    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.000    0.000    0.090    0.090 __init__.py:106(<module>)
        1    0.000    0.000    0.089    0.089 delayed.py:1(<module>)
     1198    0.086    0.000    0.086    0.000 {built-in method marshal.loads}
     3564    0.018    0.000    0.085    0.000 inference_server3.py:67(__init__)
      615    0.011    0.000    0.085    0.000 ImageFile.py:154(load)
2251/1749    0.007    0.000    0.084    0.000 inspect.py:2198(_signature_from_callable)
     1524    0.007    0.000    0.083    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     1218    0.002    0.000    0.083    0.000 <__array_function__ internals>:2(linspace)
     1622    0.001    0.000    0.083    0.000 inspect.py:3081(signature)
     9576    0.022    0.000    0.082    0.000 fromnumeric.py:70(_wrapreduction)
     1622    0.001    0.000    0.082    0.000 inspect.py:2829(from_callable)
  235/165    0.000    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
      615    0.002    0.000    0.079    0.000 binary.py:11(binary_erosion)
  235/165    0.019    0.000    0.079    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.077    0.077 colorbar.py:32(<module>)
     1218    0.032    0.000    0.077    0.000 function_base.py:23(linspace)
      615    0.001    0.000    0.076    0.000 morphology.py:293(binary_erosion)
        1    0.000    0.000    0.076    0.076 _continuous_distns.py:6(<module>)
      101    0.002    0.000    0.072    0.001 _distn_infrastructure.py:1653(__init__)
      615    0.008    0.000    0.072    0.000 Image.py:2854(open)
     3564    0.071    0.000    0.071    0.000 {putText}
     1519    0.001    0.000    0.070    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
1520/1519    0.004    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        1    0.000    0.000    0.068    0.068 _build_tlz.py:1(<module>)
     7128    0.006    0.000    0.068    0.000 <__array_function__ internals>:2(sum)
        1    0.000    0.000    0.067    0.067 figure.py:9(<module>)
    28512    0.065    0.000    0.065    0.000 {method 'round' of 'numpy.generic' objects}
    37/19    0.000    0.000    0.062    0.003 __init__.py:109(import_module)
    37/19    0.000    0.000    0.062    0.003 <frozen importlib._bootstrap>:994(_gcd_import)
     4400    0.004    0.000    0.061    0.000 re.py:273(_compile)
       11    0.000    0.000    0.059    0.005 artist.py:1613(kwdoc)
     2316    0.014    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.057    0.057 filter_design.py:1(<module>)
      615    0.006    0.000    0.057    0.000 Image.py:2919(_open_core)
        1    0.000    0.000    0.057    0.057 __init__.py:398(<module>)
     7128    0.011    0.000    0.056    0.000 fromnumeric.py:2105(sum)
      229    0.001    0.000    0.053    0.000 sre_compile.py:759(compile)
        3    0.000    0.000    0.053    0.018 functional.py:1(<module>)
        2    0.000    0.000    0.052    0.026 __init__.py:25(<module>)
     4305    0.004    0.000    0.052    0.000 <__array_function__ internals>:2(nonzero)
        2    0.000    0.000    0.051    0.026 operator.py:1(<module>)
      593    0.038    0.000    0.051    0.000 inference_server3.py:32(object_tracking)
      200    0.000    0.000    0.050    0.000 operator.py:8(should_curry)
        1    0.000    0.000    0.050    0.050 _subplots.py:1(<module>)
      615    0.006    0.000    0.050    0.000 ImageFile.py:92(__init__)
  242/237    0.000    0.000    0.049    0.000 functoolz.py:821(_check_sigspec)
      361    0.017    0.000    0.049    0.000 doccer.py:10(docformat)
      615    0.048    0.000    0.048    0.000 {method 'decode' of 'ImagingDecoder' objects}
     9595    0.047    0.000    0.047    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      117    0.001    0.000    0.046    0.000 _distn_infrastructure.py:766(_construct_doc)
     2313    0.001    0.000    0.046    0.000 re.py:234(compile)
      228    0.001    0.000    0.045    0.000 inspect.py:2101(_signature_from_builtin)
       11    0.001    0.000    0.045    0.004 artist.py:1386(pprint_setters)
     4305    0.003    0.000    0.044    0.000 fromnumeric.py:1816(nonzero)
  203/200    0.000    0.000    0.044    0.000 functoolz.py:862(num_required_args)
      228    0.004    0.000    0.044    0.000 inspect.py:1957(_signature_fromstr)
        1    0.000    0.000    0.042    0.042 __init__.py:82(<module>)
        9    0.000    0.000    0.042    0.005 __init__.py:2(<module>)
     1810    0.041    0.000    0.041    0.000 {built-in method numpy.zeros}
      615    0.008    0.000    0.041    0.000 PngImagePlugin.py:673(_open)
        1    0.000    0.000    0.041    0.041 contour.py:3(<module>)
        1    0.000    0.000    0.039    0.039 binary.py:3(<module>)
    14256    0.036    0.000    0.036    0.000 {line}
     4305    0.036    0.000    0.036    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     2672    0.020    0.000    0.034    0.000 inspect.py:613(cleandoc)
        1    0.000    0.000    0.033    0.033 _axes.py:1(<module>)
     2387    0.002    0.000    0.032    0.000 inspect.py:594(getdoc)
      8/1    0.000    0.000    0.031    0.031 _build_tlz.py:53(exec_module)
        8    0.000    0.000    0.031    0.004 _build_tlz.py:14(_load_toolz)
      4/2    0.000    0.000    0.030    0.015 pyplot.py:216(switch_backend)
     1230    0.002    0.000    0.030    0.000 <__array_function__ internals>:2(prod)
      376    0.000    0.000    0.030    0.000 __init__.py:686(__getitem__)
        1    0.000    0.000    0.030    0.030 pooling.py:1(<module>)
      229    0.001    0.000    0.030    0.000 sre_parse.py:913(parse)
     3690    0.030    0.000    0.030    0.000 {minAreaRect}
        3    0.000    0.000    0.029    0.010 pyplot.py:276(backend_mod)
        1    0.000    0.000    0.029    0.029 hub.py:1(<module>)
        1    0.000    0.000    0.029    0.029 backend_qt5agg.py:3(<module>)
   122720    0.029    0.000    0.029    0.000 {built-in method builtins.min}
     1188    0.028    0.000    0.029    0.000 {method 'get' of 'cupy.core.core.ndarray' objects}
    82398    0.029    0.000    0.029    0.000 {built-in method builtins.max}
  605/229    0.002    0.000    0.028    0.000 sre_parse.py:411(_parse_sub)
        1    0.000    0.000    0.028    0.028 _denoise.py:1(<module>)
        1    0.000    0.000    0.028    0.028 __init__.py:119(<module>)
        1    0.000    0.000    0.028    0.028 operator.py:14(<dictcomp>)
  855/239    0.010    0.000    0.027    0.000 sre_parse.py:469(_parse)
        1    0.001    0.001    0.027    0.027 backend_qt5.py:1(<module>)
     1230    0.003    0.000    0.027    0.000 fromnumeric.py:2881(prod)
        1    0.000    0.000    0.027    0.027 collections.py:10(<module>)
      228    0.003    0.000    0.026    0.000 inspect.py:1885(_signature_strip_non_python_syntax)
        1    0.000    0.000    0.026    0.026 figureoptions.py:6(<module>)
        1    0.000    0.000    0.025    0.025 qt_compat.py:14(<module>)
        1    0.000    0.000    0.025    0.025 qt_compat.py:72(_setup_pyqt5)
      425    0.001    0.000    0.024    0.000 artist.py:1290(get_valid_values)
        1    0.000    0.000    0.024    0.024 rcsetup.py:14(<module>)
        1    0.000    0.000    0.024    0.024 _shgo.py:3(<module>)
     1483    0.009    0.000    0.024    0.000 inspect.py:2117(_signature_from_function)
      101    0.000    0.000    0.023    0.000 operator.py:14(<genexpr>)
        1    0.000    0.000    0.023    0.023 interpolation.py:31(<module>)
        1    0.000    0.000    0.023    0.023 __init__.py:94(<module>)
    99530    0.020    0.000    0.023    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.022    0.022 __init__.py:629(<module>)
     1445    0.005    0.000    0.022    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.022    0.022 text.py:3(<module>)
        1    0.020    0.020    0.021    0.021 colorconv.py:50(<module>)
      229    0.000    0.000    0.021    0.000 sre_compile.py:598(_code)
       12    0.001    0.000    0.021    0.002 artist.py:1337(get_setters)
        1    0.000    0.000    0.021    0.021 __init__.py:13(<module>)
     1747    0.001    0.000    0.021    0.000 artist.py:1356(is_alias)
     1218    0.001    0.000    0.021    0.000 <__array_function__ internals>:2(any)
    68070    0.020    0.000    0.021    0.000 {built-in method builtins.getattr}
      316    0.001    0.000    0.021    0.000 overrides.py:166(decorator)
     1198    0.011    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     5656    0.002    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     3080    0.006    0.000    0.020    0.000 tokenize.py:487(_tokenize)
        1    0.000    0.000    0.019    0.019 _basic.py:5(<module>)
     3690    0.019    0.000    0.019    0.000 {drawContours}
        2    0.000    0.000    0.019    0.010 config.py:1(<module>)
     5759    0.019    0.000    0.019    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.019    0.019 __init__.py:18(<module>)
        1    0.000    0.000    0.019    0.019 fontconfig_pattern.py:6(<module>)
        1    0.000    0.000    0.019    0.019 orthogonal.py:72(<module>)
        1    0.000    0.000    0.018    0.018 __init__.py:193(<module>)
        1    0.000    0.000    0.018    0.018 _rotation_groups.py:1(<module>)
        2    0.000    0.000    0.018    0.009 __init__.py:72(<module>)
        1    0.000    0.000    0.018    0.018 __init__.py:317(<module>)
      358    0.002    0.000    0.018    0.000 _util.py:289(getfullargspec_no_self)
     1218    0.002    0.000    0.017    0.000 fromnumeric.py:2249(any)
     3691    0.004    0.000    0.017    0.000 <__array_function__ internals>:2(concatenate)
    12030    0.007    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        1    0.000    0.000    0.016    0.016 codata.py:51(<module>)
      558    0.016    0.000    0.016    0.000 {built-in method builtins.compile}
       12    0.000    0.000    0.016    0.001 artist.py:1242(__init__)
       12    0.001    0.000    0.016    0.001 artist.py:1262(get_aliases)
   167715    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.016    0.016 pyparsing.py:96(<module>)
        4    0.014    0.004    0.015    0.004 codata.py:1498(parse_constants_2002to2014)
     1230    0.004    0.000    0.015    0.000 PngImagePlugin.py:183(call)
        1    0.000    0.000    0.015    0.015 request.py:68(<module>)
175206/173583    0.014    0.000    0.015    0.000 {built-in method builtins.len}
       28    0.002    0.000    0.015    0.001 __init__.py:794(_rc_params_in_file)
     2460    0.003    0.000    0.015    0.000 base64.py:65(b64decode)
 1494/229    0.005    0.000    0.015    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.014    0.014 compiler.py:1(<module>)
     2396    0.006    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      516    0.000    0.000    0.014    0.000 re.py:182(search)
     3564    0.003    0.000    0.013    0.000 <__array_function__ internals>:2(min_scalar_type)
