Testing
Get agent
model parameters: 
4056849
Setup GPU mode
Testing loop
         28797622 function calls (26579340 primitive calls) in 100.828 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1799/1    0.017    0.000  100.829  100.829 {built-in method builtins.exec}
        1    0.004    0.004  100.829  100.829 inference_server3.py:1(<module>)
        1    0.142    0.142   98.398   98.398 inference_server3.py:432(lane_detection_reader)
     1702    0.779    0.000   94.633    0.056 lane_detection.py:45(inference)
     1702    3.395    0.002   92.929    0.055 test_PINet.py:54(Testing)
     1702    0.735    0.000   88.378    0.052 test_PINet.py:287(test_ori)
     1702    0.045    0.000   76.696    0.045 agent.py:349(predict_lanes_test)
1831273/1702    6.318    0.000   74.612    0.044 module.py:522(__call__)
     1702    0.030    0.000   74.573    0.044 hourglass_network.py:29(forward)
     6808    0.488    0.000   73.316    0.011 util_hourglass.py:291(forward)
     6808    1.102    0.000   56.774    0.008 util_hourglass.py:214(forward)
   272309    1.390    0.000   49.306    0.000 container.py:98(forward)
   270605    0.463    0.000   47.579    0.000 util_hourglass.py:33(forward)
   399952    0.633    0.000   29.005    0.000 conv.py:344(forward)
   399952    1.008    0.000   28.160    0.000 conv.py:334(conv2d_forward)
   399952   26.994    0.000   26.994    0.000 {built-in method conv2d}
    54464    0.473    0.000   26.242    0.000 util_hourglass.py:80(forward)
   330173    2.015    0.000   18.289    0.000 batchnorm.py:84(forward)
    34039    0.310    0.000   15.943    0.000 util_hourglass.py:151(forward)
   330173    0.639    0.000   15.089    0.000 functional.py:1643(batch_norm)
   330173   14.201    0.000   14.201    0.000 {built-in method batch_norm}
    27231    0.233    0.000   13.076    0.000 util_hourglass.py:121(forward)
   377828    0.801    0.000   10.403    0.000 activation.py:878(forward)
    20421    0.146    0.000    9.613    0.000 util_hourglass.py:176(forward)
   377828    0.259    0.000    9.278    0.000 functional.py:1074(prelu)
   377828    9.019    0.000    9.019    0.000 {built-in method prelu}
     1701    3.423    0.002    7.385    0.004 test_PINet.py:342(generate_result)
793055/444557    0.812    0.000    3.972    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   359862    1.357    0.000    3.595    0.000 {built-in method numpy.array}
   346560    0.224    0.000    3.253    0.000 <__array_function__ internals>:2(norm)
       95    0.002    0.000    2.944    0.031 __init__.py:1(<module>)
  3571415    2.815    0.000    2.816    0.000 module.py:562(__getattr__)
   346560    1.383    0.000    2.755    0.000 linalg.py:2363(norm)
  1579/15    0.005    0.000    2.429    0.162 <frozen importlib._bootstrap>:978(_find_and_load)
  1554/15    0.004    0.000    2.429    0.162 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
  1447/15    0.005    0.000    2.427    0.162 <frozen importlib._bootstrap>:663(_load_unlocked)
  2060/16    0.001    0.000    2.426    0.152 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    27231    0.134    0.000    2.417    0.000 conv.py:769(forward)
  1199/14    0.002    0.000    2.351    0.168 <frozen importlib._bootstrap_external>:722(exec_module)
     1702    0.010    0.000    2.237    0.001 Image.py:679(__array_interface__)
     1702    0.027    0.000    2.223    0.001 Image.py:710(tobytes)
    27231    2.112    0.000    2.112    0.000 {built-in method conv_transpose2d}
     1702    0.036    0.000    1.843    0.001 ImageFile.py:154(load)
     1762    1.722    0.001    1.722    0.001 {method 'copy' of 'numpy.ndarray' objects}
     5350    1.639    0.000    1.639    0.000 {method 'decode' of 'ImagingDecoder' objects}
     5017    0.005    0.000    1.549    0.000 from_data.py:7(array)
     7753    1.548    0.000    1.548    0.000 {built-in method cupy.core.core.array}
        1    0.000    0.000    1.548    1.548 lane_detection.py:1(<module>)
     1702    1.468    0.001    1.468    0.001 {method 'float' of 'torch._C._TensorBase' objects}
